"jobtitle","officelocation","seniority","employer","salary","bonus","hours","digitalstrategy","technicalseo","content","linkbuilding","paidsearch","analytics","weddesign","city","Region"
"Marketing Manager","UK","Manager","In-house Brand",49000,NA,"40",3,2,4,2,2,3,3,"southampton","South East"
"Content Strategist","UK","Manager","Agency",40000,0,"3",5,3,4,2,2,4,3,"oxford","South East"
"Head of Ecommerce","UK","Director/Head of Department","In-house Brand",53000,17000,"45",5,3,4,3,3,5,3,"derby","East Midlands"
"Marketing executive","UK","Junior","In-house Brand",26500,0,"40",5,3,5,5,2,4,1,"crawley","South East"
"Head of Creative","UK","Director/Head of Department","Agency",62500,500,"40",5,2,4,4,1,2,3,"edinburgh","Scotland"
"SEO Executive","UK","Junior","Agency",23000,300,"36.5",5,4,5,3,1,4,1,"stafford","West Midlands"
"Digital Marketing Manager","UK","Manager","In-house Brand",27500,788,"40",5,3,4,3,3,NA,2,"edinburgh","Scotland"
"SEO Executive","UK","Junior","Agency",21000,NA,"37.5",2,3,4,3,1,3,1,"london","London"
"Organic Digital Manager","UK","Manager","Agency",37000,0,"40",5,4,3,3,1,4,3,"exeter","South East"
"Head of SEO","UK","Director/Head of Department","Agency",42000,0,"40",3,5,4,4,1,4,1,"london","London"
"SEO Account Manager","UK","Manager","Agency",41000,0,"40",3,5,2,1,1,3,1,"london","London"
"SEO Specialist","UK","Manager","Agency",25000,0,"45 hours minimum",5,4,5,5,1,5,2,"leicester","East Midlands"
"Content marketing executive","UK","Manager","In-house Brand",20000,0,"40",4,2,5,4,1,5,2,"oxford","South East"
"Digital Marketing Executive","UK","Manager","Agency",27000,0,"37.5",4,5,4,4,5,5,2,"cambridge","Eastern"
"PPC Manager","UK","Manager","In-house Brand",35000,800,"40",4,4,4,3,5,5,1,"cambridge","Eastern"
"Digital Marketing Executive","UK","Junior","Agency",18000,0,"40",4,3,4,2,4,4,1,"manchester","North West"
"Content Cooardinator","UK","Junior","In-house Brand",17500,3000,"42",4,2,5,3,1,2,1,"sheffield","Yorkshire and The Humber"
"Digital PR Manager","UK","Director/Head of Department","Agency",30000,NA,"40",4,1,5,5,1,3,1,"manchester","North West"
"Head of Technical SEO","UK","Director/Head of Department","Agency",32000,0,"37.5",4,5,3,3,2,5,4,"chester","North West"
"","UK","Junior","Agency",26000,500,"40",2,4,3,3,1,2,2,"manchester","North West"
"Account Manager","UK","Manager","Agency",23000,0,"40",3,1,4,4,1,4,1,"brighton","South East"
"Ecommerce Manager","UK","Manager","In-house Brand",25000,500,"40",3,3,3,3,3,4,4,"leicester","East Midlands"
"SEO and Content Manager","UK","Manager","In-house Brand",31000,0,"42",4,4,5,4,1,4,1,"manchester","North West"
"SEO Manager","UK","Manager","Agency",35000,0,"40",5,5,4,3,2,4,2,"manchester","North West"
"digital marketing executive","UK","Junior","In-house Brand",26900,1345,"37",3,2,4,2,3,3,1,"dorking","South East"
"SEO Executive","UK","Junior","Agency",21000,NA,"45",4,4,4,4,2,4,3,"nottingham","East Midlands"
"Delivery Executive","UK","Junior","Agency",19500,0,"0",3,3,2,3,2,3,1,"chester","North West"
"SEO & Content Executive","UK","Junior","In-house Brand",20000,600,"45",2,5,5,3,1,4,2,"brighton","South East"
"Digital Marketing Manager","UK","Manager","In-house Brand",33000,0,"37",5,3,4,3,4,4,4,"stoke-on-trent","West Midlands"
"Digital Marketing Executive","UK","Junior","Agency",22000,200,"38 hours",5,5,5,4,1,5,1,"",""
"account manager and team leader","UK","Manager","Agency",30000,5000,"38",5,4,4,1,2,4,1,"york","North East"
"Digital Marketing Manager","UK","Manager","Agency",28000,0,"10",4,5,4,2,4,5,1,"exeter","South West"
"SEO Specialist","UK","Junior","In-house Brand",28000,NA,"38",2,4,4,3,1,4,2,"london","London"
"Group SEO Manager","UK","Director/Head of Department","In-house Brand",55184,4500,"39",5,5,4,4,1,3,3,"london","London"
"SEO Manager","UK","Manager","Agency",33500,NA,"38",3,5,2,2,1,2,1,"london","London"
"Marketing Manager","UK","Director/Head of Department","In-house Brand",35000,0,"37",5,5,5,5,3,5,3,"salisbury","South West"
"SEO Executive","UK","Junior","Agency",15500,0,"8.5",2,5,5,5,3,5,1,"leicester","East Midlands"
"Account Manager","UK","Manager","Agency",34000,0,"35",4,4,3,3,1,5,1,"london","London"
"Head of strategy","UK","Director/Head of Department","Agency",36000,8000,"40",5,5,2,2,4,5,1,"brighton","South East"
"Marketing Assistant","UK","Junior","Agency",16000,0,"38",4,2,4,3,5,4,2,"leicester","East Midlands"
"Digital Marketing Executive","UK","Manager","Agency",35000,0,"40",3,5,5,4,5,5,1,"st helier",""
"Head of SEO","UK","Director/Head of Department","Agency",35000,0,"55",5,5,3,3,1,5,1,"london","London"
"Web Optimisation Executive","UK","Manager","In-house Brand",23000,0,"45",4,5,1,2,5,4,2,"peterborough","Eastern"
"Performance Partner","UK","Junior","In-house Brand",26600,500,"42",4,3,1,1,3,5,3,"manchester","North West"
"digital marketing co-ordinator","UK","Junior","In-house Brand",17500,0,"34",4,5,5,5,3,5,5,"exeter","South West"
"Brand and Content Marketing Manager","UK","Manager","In-house Brand",24000,0,"40",5,1,5,4,1,3,2,"exeter","South West"
"Senior Content and SEO Executive","UK","Manager","In-house Brand",27000,0,"40",4,3,5,5,1,4,1,"manchester","North West"
"Digital Marketing Officer","UK","Junior","In-house Brand",24000,0,"35",4,4,4,2,2,5,4,"st albans","Eastern"
"Marketing analyst","UK","Manager","In-house Brand",31000,0,"37",2,1,2,2,3,5,2,"nottingham","East Midlands"
"Email Marketer","UK","Manager","In-house Brand",25000,0,"37.5",1,1,2,1,1,3,4,"bournemouth","South West"
"Digital Marketing Manager","UK","Manager","In-house Brand",32000,2000,"37.5",5,4,3,3,4,4,3,"rochester","South East"
"SEO Manager","UK","Director/Head of Department","In-house Brand",36000,6000,"40",3,5,5,4,1,4,1,"london","London"
"Digital Marketing Executive","UK","Junior","In-house Brand",35000,2000,"37.5",4,5,4,5,5,5,3,"st albans","Eastern"
"Senior SEO Analyst","UK","Manager","In-house Brand",45000,0,"37.5",3,5,2,2,1,5,2,"manchester","North West"
"Copywriter & Content Exec","UK","Manager","Agency",28000,200,"42",5,2,4,2,3,1,2,"brighton","South East"
"Editor","UK","Director/Head of Department","In-house Brand",60000,0,"45",4,3,5,4,2,4,2,"newcastle on tyne","North East"
"Senior Account Manager","UK","Manager","Agency",35000,5200,"45",4,1,5,5,1,3,1,"london","London"
"marketing Executive","UK","Junior","In-house Brand",20000,0,"42.5",3,4,4,5,5,5,2,"oxford","South East"
"biddable exec","UK","Junior","Agency",21000,0,"39",2,1,2,1,5,3,1,"london","London"
"Senior Search Consultant","UK","Manager","Agency",32000,0,"40",5,5,4,1,5,5,3,"exeter","South West"
"Natural Search Executive","UK","Junior","Agency",21000,0,"40",3,5,3,2,1,4,4,"brighton","South East"
"Head of Digital Marketing","UK","Director/Head of Department","In-house Brand",86000,0,"37.5",5,4,2,2,4,4,1,"london","London"
"Digital Marketing Exec","UK","Junior","In-house Brand",24500,0,"45.8",4,2,3,3,5,4,2,"milton keynes","South East"
"Social Media Executive","UK","Junior","In-house Brand",32800,NA,"35",2,2,5,2,1,4,1,"salisbury","South West"
"Digital marketing manager ","UK","Manager","In-house Brand",47500,2375,"50",5,4,3,3,5,4,2,"bradford ","Yorkshire and The Humber"
"digital marketing executive","UK","Manager","In-house Brand",19000,0,"37",3,3,4,3,3,3,1,"milton keynes","South East"
"Web & SEO Coordinator","UK","Junior","In-house Brand",14400,600,"32",3,5,3,2,1,3,4,"norwich","Eastern"
"Technical SEO Manger","UK","Manager","Agency",38000,200,"42.5",3,5,1,2,1,3,2,"reading","South East"
"Head of PPC","UK","Director/Head of Department","Agency",47000,3000,"40",5,1,1,1,5,3,1,"southampton","South East"
"Head of Content Marketing","UK","Manager","Agency",30000,0,"50",4,1,5,4,1,4,1,"manchester","North West"
"SEO Executive","UK","Manager","In-house Brand",21000,1000,"40",4,3,4,3,2,5,4,"manchester","North West"
"","UK","Director/Head of Department","Agency",0,0,"35",4,4,3,3,2,4,1,"",""
"Marketing Manager","UK","Manager","In-house Brand",30000,0,"42",5,3,4,4,4,5,2,"brighton","South East"
"SEO & Online Marketing Specialist","UK","Manager","In-house Brand",30000,0,"40",4,3,5,2,4,4,2,"reading","South East"
"SEO manager","UK","Director/Head of Department","Agency",35000,1000,"40",3,4,2,1,1,3,2,"farnborough","South East"
"Marketing Manager","UK","Director/Head of Department","In-house Brand",25000,1000,"50",5,5,5,5,5,5,5,"doncaster","Yorkshire and The Humber"
"Content Marketing Manager","UK","Manager","Agency",29500,500,"38",4,2,5,5,1,3,1,"brighton","South East"
"Web Content Producer","UK","Junior","In-house Brand",35000,3500,"35",2,4,5,1,1,4,4,"london","London"
"SEO Director","UK","Director/Head of Department","Agency",93000,3000,"42.5",5,4,4,3,2,4,3,"london","London"
"Content Producer ","UK","Junior","Agency",22000,0,"37",5,3,5,4,3,3,1,"brighton","South East"
"sr seo manager","UK","Manager","In-house Brand",50000,2500,"37.5",3,5,4,3,2,2,2,"peterborough","Eastern"
"SEO manager","UK","Manager","In-house Brand",42000,3500,"40",4,5,3,3,4,4,4,"london","London"
"Digital Marketing Account Manager","UK","Manager","Agency",25000,0,"37.5",5,3,5,5,4,5,1,"guildford","South East"
"Director of strategy","UK","Director/Head of Department","Agency",65000,1200,"45",5,5,3,4,1,5,3,"london ","London"
"Social Media Strategist","UK","Junior","Agency",16000,0,"32.5",4,2,4,2,3,3,1,"london","London"
"Marketing Analyst","UK","Junior","In-house Brand",31200,1200,"37.5",4,3,2,1,4,5,3,"brighton","South East"
"Marketing Manager","UK","Manager","In-house Brand",35000,NA,"40",4,4,4,4,2,4,3,"manchester","North West"
"ppc exec","UK","Junior","In-house Brand",35000,NA,"37",4,1,1,1,5,5,1,"bracknell","South East"
"Ecommerce Executive","UK","Junior","In-house Brand",26500,0,"35",5,5,3,1,2,4,2,"guildford","South East"
"Content Manager ","UK","Manager","In-house Brand",28000,0,"38",2,4,5,4,1,4,1,"chelmsford","Eastern"
"Consultant","UK","Junior","Agency",35000,0,"45",4,5,3,2,4,4,4,"london","London"
"Digital marketing manager","UK","Director/Head of Department","Agency",35000,0,"40",4,4,5,4,3,3,1,"chester","North West"
"Web Producer","UK","Manager","In-house Brand",34000,0,"45",3,3,1,1,1,3,5,"london","London"
"content manager","UK","Manager","In-house Brand",36500,0,"40",4,4,5,2,2,4,1,"brighton","South East"
"Digital Marketing Specialist","UK","Manager","In-house Brand",35000,1000,"37",5,5,1,1,5,5,1,"reading","South East"
"Senior Marketing Executive","UK","Manager","In-house Brand",32000,0,"40",4,3,5,2,5,4,3,"brighton","South East"
"digital optimisation manager","UK","Manager","In-house Brand",80000,0,"36",2,1,1,1,1,3,1,"london","London"
"Digital Marketing Officer","UK","Manager","In-house Brand",28500,0,"45",4,4,4,4,4,4,2,"brighton","South East"
"CTO","UK","Director/Head of Department","In-house Brand",60000,NA,"40",4,4,3,4,2,4,5,"chelmsford","Eastern"
"Ecommerce Executive","UK","Junior","In-house Brand",28000,1500,"42",4,5,4,3,2,2,1,"brighton","South East"
"Head of SEO","UK","Manager","Agency",34500,0,"40",4,5,4,4,1,4,1,"manchester","North West"
"Head of Marketing Strategy","UK","Director/Head of Department","Agency",42000,200,"42",5,4,4,2,3,3,1,"manchester","North West"
"SEO Lead","UK","Manager","Agency",33500,0,"40",4,5,3,3,1,4,3,"leeds","Yorkshire and The Humber"
"Head of Paid Search","UK","Director/Head of Department","Agency",33000,500,"37.5",4,1,1,1,5,4,3,"peterborough","Eastern"
"Head of SEO","UK","Director/Head of Department","Agency",40000,750,"42",4,5,3,2,1,4,2,"leeds","Yorkshire and The Humber"
"Digital Marketing Executive","UK","Junior","In-house Brand",30000,0,"42",5,1,5,2,4,5,4,"london","London"
"brand manager","UK","Manager","In-house Brand",33000,0,"40",4,3,4,4,2,4,3,"exeter","South West"
"Digital Marketing Executive","UK","Manager","In-house Brand",27800,300,"40",3,3,2,2,2,3,3,"manchester","North West"
"Marketing Executive","UK","Manager","In-house Brand",30000,0,"40",4,5,5,4,3,5,5,"reading","South East"
"Marketing assistant","UK","Junior","In-house Brand",21000,500,"30",3,1,3,1,1,2,1,"leeds","Yorkshire and The Humber"
"Senior Marketing Executive","UK","Junior","In-house Brand",16000,0,"40",4,4,5,5,1,2,1,"reading","South East"
"Marketing Executive","UK","Junior","In-house Brand",25000,0,"45",4,2,5,3,3,5,5,"london","London"
"Client Services Manager","UK","Director/Head of Department","Agency",40000,NA,"40",4,2,2,2,2,4,1,"hertford","Eastern"
"MD","UK","Director/Head of Department","Agency",55000,NA,"40",5,3,3,1,1,2,1,"southampton","South East"
"Sales Account Manager","UK","Manager","Agency",25000,5000,"40",3,5,3,5,4,4,1,"bristol","South West"
"global director marketing","UK","Director/Head of Department","In-house Brand",79000,46000,"50",5,5,5,5,5,5,5,"london","London"
"Digital Marketing Consultant","UK","Junior","Agency",21000,0,"35",5,5,5,5,2,5,1,"brighton","South East"
"Marketer","UK","Director/Head of Department","In-house Brand",18000,0,"40",5,5,5,3,4,5,5,"sheffield","Yorkshire and The Humber"
"Digital","UK","Director/Head of Department","In-house Brand",60000,2500,"48",5,2,3,3,4,4,2,"cardiff","Wales"
"SEO Manager","UK","Manager","Agency",25000,0,"40",3,4,4,3,1,4,1,"glasgow","Scotland"
"CMO","UK","Director/Head of Department","Agency",30000,0,"40",3,4,3,3,2,2,2,"chester","North West"
"Digital PR","UK","Junior","Agency",21000,250,"39",5,3,3,5,1,2,1,"london","London"
"SEO Manager","UK","Manager","In-house Brand",49000,3500,"37.5",3,5,4,4,3,3,2,"london","London"
"Content Lead","UK","Manager","In-house Brand",38000,5000,"35",4,3,5,4,2,2,1,"london","London"
"SEO Manager","UK","Manager","In-house Brand",45000,0,"50",4,5,5,5,1,5,4,"london","London"
"SEO Account Manager","UK","Manager","Agency",34000,0,"36",4,4,5,3,1,3,1,"london","London"
"Digital Marketing Manager","UK","Director/Head of Department","In-house Brand",27000,0,"50",4,4,4,4,1,3,3,"bath","South West"
"seo manager","UK","Manager","In-house Brand",33000,0,"50",2,5,3,3,1,3,3,"",""
"Marketing manager","UK","Director/Head of Department","In-house Brand",37000,0,"12 Months",5,3,5,4,1,4,3,"london","London"
"SEO Product Manager","UK","Manager","In-house Brand",57684,NA,"45",4,5,2,1,1,3,1,"london","London"
"Marketing Manager","UK","Director/Head of Department","Agency",48500,1000,"40",4,5,4,3,2,3,1,"norwich","Eastern"
"SEO & PR Assistant","UK","Junior","In-house Brand",23000,4500,"40",2,4,5,3,1,3,1,"london","London"
"Director","UK","Business Owner","Agency",36000,0,"40",5,3,2,2,1,3,2,"cambridge","Eastern"
"SEO Manager/Head of SEO","UK","Director/Head of Department","Agency",40000,0,"35",4,4,5,4,1,4,1,"brighton","South East"
"Marketing Executive","UK","Director/Head of Department","In-house Brand",32000,3000,"35",5,4,5,3,1,4,2,"canterbury","South East"
"Head of SEO","UK","Director/Head of Department","In-house Brand",120000,10000,"35",5,3,3,3,1,2,2,"london","London"
"Head of Digital","UK","Director/Head of Department","Agency",87500,2000,"40 hrs",4,4,4,3,3,4,5,"london","London"
"Web & Marketing Manager","UK","Manager","In-house Brand",24000,NA,"45",5,5,5,4,5,5,5,"manchester","North West"
"SEO","UK","Director/Head of Department","In-house Brand",65000,NA,"",5,5,5,1,2,4,4,"london","London"
"Digital Marketing Consultant","UK","Manager","Agency",18000,0,"35",4,4,4,5,3,4,1,"nottingham","East Midlands"
"Marketing Director ","UK","Business Owner","Agency",6600,40000,"50",4,4,4,4,3,NA,2,"hove","South East"
"Marketing Assistant","UK","Junior","In-house Brand",18000,NA,"7",3,4,5,3,2,4,3,"chester","North West"
"Conversion & Analytics Strategist","UK","Director/Head of Department","Agency",12000,0,"30",5,5,5,5,4,5,5,"brighton","South East"
"Data and Analytics Lead ","UK","Manager","In-house Brand",41000,2000,"35",4,3,2,3,4,5,2,"london ","London"
"SEO Consultant","UK","Director/Head of Department","Agency",47000,2000,"38",3,5,4,2,2,3,1,"london","London"
"Digital Trading Manager","UK","Manager","In-house Brand",38000,3000,"45",3,3,2,3,4,4,1,"nottingham ","East Midlands"
"Business Analyst","UK","Business Owner","In-house Brand",43000,0,"36",2,1,1,1,1,4,4,"brighton","South East"
"Digital Executive","UK","Junior","In-house Brand",27000,3000,"37.5",4,4,5,4,5,5,2,"worcester","West Midlands"
"Technical SEO Manager","UK","Manager","In-house Brand",50000,6000,"45",4,5,3,3,1,4,1,"manchester","North West"
"Technical SEO Manager","UK","Director/Head of Department","Agency",44000,2500,"45",2,5,1,2,1,3,2,"london","London"
"PPC Executive","UK","Manager","Agency",25200,400,"40",3,1,1,1,5,4,1,"newcastle ","North East"
"SEO Specialist","UK","Manager","In-house Brand",45000,1000,"38",3,4,4,3,3,4,2,"oxford","South East"
"SEO Manager","UK","Manager","In-house Brand",40000,1000,"37.5",4,5,3,2,2,4,1,"brighton","South East"
"Senior marketing executive ","UK","Junior","Agency",28000,NA,"40",3,2,4,2,5,4,2,"london","London"
"MD","UK","Business Owner","Agency",42000,0,"60",5,4,5,4,3,2,1,"lancaster","North West"
"SEO Manager","UK","Manager","Agency",35000,1000,"35",4,5,4,3,1,4,2,"london","London"
"Digital Marketing Executive","UK","Manager","In-house Brand",31500,600,"24",4,4,3,4,5,5,2,"portsmouth","South East"
"Account executive ","UK","Junior","Agency",23500,NA,"45",4,1,3,1,4,3,2,"norwich","Eastern"
"Digital Marketing Manager","UK","Director/Head of Department","In-house Brand",38000,0,"45",5,4,4,4,5,5,2,"sheffield ","Yorkshire and The Humber"
"Search & Analytics Architect ","UK","Director/Head of Department","In-house Brand",108000,0,"50",4,4,3,2,2,5,3,"edinburgh ","Scotland"
"Copywriter ","UK","Junior","In-house Brand",18500,0,"38",2,2,5,1,1,1,1,"hull","Yorkshire and The Humber"
"Admin manager","UK","Manager","In-house Brand",24000,0,"40.5",3,4,4,3,2,4,4,"lancaster ","North West"
"SEO Manager","UK","Manager","In-house Brand",70000,NA,"45",4,5,3,2,1,3,1,"portsmouth","South East"
"Head of seo","UK","Director/Head of Department","Agency",60000,5000,"45",5,5,4,3,1,4,3,"london ","London"
"Head of SEO","UK","Director/Head of Department","In-house Brand",65000,0,"45",5,4,4,4,2,4,4,"london","London"
"","UK","Director/Head of Department","Agency",56000,NA,"55",4,3,3,2,1,4,1,"",""
"consultant","UK","Manager","Agency",50000,0,"45",3,4,3,2,2,4,2,"london","London"
"Director or Growth","UK","Director/Head of Department","In-house Brand",40000,15000,"45",4,4,3,3,1,3,2,"leeds","Yorkshire and The Humber"
"Content specialist","UK","Manager","In-house Brand",28000,2000,"39",4,3,4,2,3,3,3,"brighton","South East"
"Head of SEO","UK","Director/Head of Department","In-house Brand",72000,28000,"42",3,5,4,1,3,5,5,"london","London"
"SEO Executive","UK","Manager","In-house Brand",25000,0,"40",2,4,3,2,1,4,1,"london","London"
"Technical SEO","UK","Junior","Agency",25000,0,"",4,5,3,4,1,4,1,"manchester","North West"
"Digital Marketing Manager","UK","Manager","In-house Brand",25000,0,"45",5,3,5,4,3,5,3,"london","London"
"SEO EXECUTIVE","UK","Junior","Agency",18000,0,"37",4,4,4,2,1,3,2,"leeds","Yorkshire and The Humber"
"Ecommerce Manager","UK","Manager","In-house Brand",45000,0,"45",5,4,3,2,4,4,3,"leeds","Yorkshire and The Humber"
"Head of SEO","UK","Director/Head of Department","In-house Brand",45000,0,"40",4,5,3,5,1,3,3,"london ","London"
"Head of Digital Marketing","UK","Director/Head of Department","In-house Brand",45000,1000,"42",5,4,1,1,4,4,2,"london","London"
"Head of Search","UK","Director/Head of Department","Agency",60000,6000,"40",5,2,2,1,2,2,1,"london","London"
"Marketing Executive","UK","Junior","In-house Brand",23000,900,"38",3,2,4,2,2,4,3,"southampton","South East"
"Digital Marketing Manager ","UK","Manager","In-house Brand",35000,0,"45",5,5,4,4,4,4,2,"leeds","Yorkshire and The Humber"
"Technical SEO executive","UK","Junior","In-house Brand",16000,200,"37.5",4,5,3,4,2,5,3,"newcastle upon tyne","North East"
"Senior Online Marketing Executive","UK","Junior","In-house Brand",34000,0,"40",4,5,4,4,1,3,1,"leicester","East Midlands"
"Content Specialist","UK","Junior","Agency",20000,NA,"37.5",4,3,5,3,2,4,2,"manchester","North West"
"SEO Exec","UK","Junior","In-house Brand",26000,0,"37.5",1,5,3,4,1,3,1,"brighton","South East"
"Brand Marketing Manager","UK","Junior","In-house Brand",40000,1000,"45",3,3,3,1,3,5,3,"london","London"
"Digital Marketing Manager","UK","Manager","In-house Brand",47500,0,"35",4,4,4,3,3,4,4,"london","London"
"SEO Outreach Exectuive","UK","Manager","In-house Brand",25000,0,"40 - 42",5,4,4,5,1,5,4,"chelmsford","Eastern"
"SEO MANAGER","UK","Manager","Agency",26000,NA,"40",5,5,3,5,1,4,3,"cardiff","Wales"
"Search Marketing Manager","UK","Manager","Agency",33000,1400,"37.5",3,4,4,4,1,4,1,"bristol","South West"
"Organic Performance Account Manager","UK","Manager","Agency",30500,0,"35",3,4,5,5,1,3,1,"london","London"
"Head of SEO","UK","Director/Head of Department","Agency",60000,NA,"40",4,3,3,3,1,2,2,"reading","South East"
"Marketing Analyst","UK","Junior","In-house Brand",21000,0,"40",4,5,1,2,5,5,2,"brighton","South East"
"Marketing Manager","UK","Manager","In-house Brand",34500,NA,"40",3,2,4,2,2,4,3,"worthing","South East"
"Social & Content Executive","UK","Junior","Agency",25000,NA,"38",4,4,5,5,1,2,1,"london","London"
"Digital communications manager","UK","Manager","In-house Brand",29123,0,"30",4,4,5,4,3,4,3,"brighton","South East"
"Search marketing manager","UK","Manager","In-house Brand",43000,2000,"40",4,4,3,2,5,5,2,"wells","South West"
"PPC Manager","UK","Manager","In-house Brand",30000,0,"37.5",4,1,3,1,5,5,1,"ipswich","Eastern"
"Head of Technical SEO","UK","Manager","Agency",30000,2000,"40",2,5,1,1,1,3,3,"london","London"
"Digital Manager","UK","Manager","Agency",32000,0,"43",4,2,5,3,2,4,2,"nottingham","East Midlands"
"Digital Marketing Manager","UK","Director/Head of Department","In-house Brand",33000,300,"37",4,4,4,2,4,4,2,"brighton","South East"
"Digital Marketing Assistant","UK","Junior","In-house Brand",23500,500,"40",2,4,4,1,1,3,2,"brighton","South East"
"Head of SEO, Content & Social","UK","Manager","Agency",27500,0,"45",5,4,4,2,1,4,1,"bristol","South West"
"Head of Search","UK","Director/Head of Department","Agency",60000,0,"40",5,4,2,3,4,4,4,"london","London"
"Account executive ","UK","Junior","Agency",23500,NA,"45",4,1,3,1,4,3,2,"norwich","Eastern"
"Marketing Manager","UK","Manager","In-house Brand",50000,0,"45",5,3,4,4,4,4,2,"bournemouth","South West"
"SEO Manager","UK","Manager","In-house Brand",55000,12000,"35",5,4,4,2,1,3,1,"london","London"
"Marketing Executive","UK","Manager","In-house Brand",25000,1500,"40",5,4,5,2,1,5,5,"southampton","South East"
"Owner","UK","Director/Head of Department","Agency",8000,32000,"40",4,4,2,2,3,3,2,"chelmsford","Eastern"
"Head of Digital Marketing","UK","Director/Head of Department","In-house Brand",47000,0,"48",5,2,2,2,3,4,4,"chelmsford","Eastern"
"Digital Marketing Manager","UK","Manager","In-house Brand",20000,500,"40",5,4,3,4,3,4,3,"brighton","South East"
"SEO & PPC Manager","UK","Manager","In-house Brand",25000,NA,"",4,5,1,4,5,4,5,"manchester","North West"
"Head of SEO","UK","Director/Head of Department","Agency",60000,12000,"42",4,3,3,2,3,3,2,"london","London"
"Growth Marketer","UK","Director/Head of Department","In-house Brand",48000,0,"55",4,4,4,4,4,4,2,"london","London"
